call_id,user_id,tutor_ldap,comm_type,duration_db_s,total_min,T1_开场寒暄_min,T2_学情复盘_min,T3_问题诊断与目标_min,T4_产品方案介绍_min,T5_长期服务路径_min,T6_关单推销_min,T7_顾虑承接_min,T9_其他_min,T1_开场寒暄_pct,T2_学情复盘_pct,T3_问题诊断与目标_pct,T4_产品方案介绍_pct,T5_长期服务路径_pct,T6_关单推销_pct,T7_顾虑承接_pct,T9_其他_pct
1688855256800089_7881300591063120_1806889,374216238,tangxueyingcs,25,2204,36.6,0.1,12.8,6.8,4.9,1.3,6.6,2.9,1.2,0.3,35.1,18.6,13.4,3.5,18.1,7.8,3.2
1688854326779364_7881301435025868_1076417,525123745,yankunpeng,25,2099,35.0,1.2,4.6,10.7,8.0,2.8,2.6,1.0,4.2,3.3,13.2,30.5,22.9,7.9,7.5,2.9,11.9
1777557538449:18136357139:wanjiamengcs01,563668321,wanjiamengcs01,25,3170,52.0,0.2,11.7,12.6,18.3,2.1,5.6,0.6,0.8,0.3,22.5,24.3,35.3,4.0,10.8,1.2,1.5
1688856828758455_7881300510960139_1493963,727834839,zhangjialecs,25,2301,38.2,0.5,11.9,7.9,10.6,3.1,3.8,0.0,0.4,1.3,31.2,20.6,27.7,8.2,9.9,0.0,1.2
50f3c91f-cacf-40ae-bd91-97833acb8aca,980892351,zhangmengmengwh05,25,371,6.3,0.2,2.8,0.0,1.7,0.0,0.0,0.6,1.1,2.8,43.7,0.0,26.9,0.0,0.0,9.7,17.0
1688856726770781_7881303308094076_1868965,661459378,yuanyingyingcs,25,1322,21.7,1.8,4.0,3.7,4.6,1.5,0.0,3.6,2.5,8.2,18.4,17.3,21.3,6.7,0.0,16.7,11.3
1688855528692227_7881302431921831_3260927,256529738,lichaocs02,25,1891,31.6,1.0,3.2,5.7,6.5,1.0,5.5,4.0,4.8,3.0,10.0,18.0,20.6,3.2,17.4,12.5,15.3
1777640239799:13770556201:tangxuzhucs,558113297,tangxuzhucs,25,1332,21.8,0.7,7.4,3.9,8.9,0.4,0.0,0.0,0.6,3.1,33.9,17.7,40.7,1.7,0.0,0.0,2.8
6f8faf07-88c0-4653-a512-741fc21359a7,281326670,liubingchuancs,25,2429,40.6,1.2,6.8,6.8,6.2,4.5,7.1,4.5,3.4,3.0,16.7,16.8,15.4,11.0,17.6,11.2,8.3
1777697105338:15048358399:danhanqiao,485203530,danhanqiao,25,1932,32.0,0.4,10.2,6.9,1.9,7.0,3.1,2.1,0.4,1.3,32.0,21.5,6.0,21.7,9.8,6.4,1.3
1777700839856:18947120629:yuxiaojiecs,213476748,yuxiaojiecs,25,2200,35.9,0.0,5.8,4.1,17.6,1.7,4.0,2.0,0.7,0.0,16.3,11.4,49.1,4.7,11.0,5.6,1.9
e9347ed5-a7d6-4219-8a20-0e6a9d74fbb2,326921026,liubingchuancs,25,3358,55.9,3.2,18.2,12.9,8.9,3.9,2.2,1.5,5.2,5.7,32.5,23.0,15.8,7.0,4.0,2.6,9.3
7317488b-f5b2-4b4c-9eea-13fac0727358,701783544,guohuaize,25,1432,23.9,0.8,5.3,2.1,7.4,2.3,3.7,2.3,0.0,3.2,22.2,8.7,31.0,9.7,15.7,9.6,0.0
1688854366676709_7881299693964325_2392409,486771750,wujunxiangwh,25,2612,44.2,1.6,10.2,12.1,5.2,3.2,5.2,4.0,2.6,3.7,23.2,27.5,11.7,7.3,11.8,9.1,5.8
1688856311825864_7881302021927181_1140462,226422752,liuxincs29,25,3212,53.4,0.4,13.1,14.7,9.6,0.7,3.3,10.5,1.0,0.8,24.5,27.6,18.1,1.3,6.2,19.8,1.8
6402bb90-5ea5-4693-8e13-e09dcff01c94,238940404,luoxiangwh02,25,3054,50.4,0.0,11.9,11.2,4.8,4.6,7.5,9.6,0.8,0.0,23.6,22.3,9.5,9.1,14.9,19.0,1.6
d454c391-3c3a-4806-989b-ff779756811e,210206028,yankunpeng,25,2691,44.6,0.7,12.1,8.9,9.1,2.7,2.2,2.3,6.5,1.6,27.2,20.0,20.5,6.1,4.9,5.1,14.6
1688854370794718_7881300132925400_1531991,1133902601,pengjiaqiancs,25,601,10.1,1.5,1.4,0.6,3.9,0.5,0.9,0.7,0.5,15.3,13.8,6.4,38.4,4.8,9.0,7.0,5.2
1777533754421:18080847365:longbiaocs,1132487242,longbiaocs,25,308,5.1,0.0,2.0,0.3,2.1,0.0,0.0,0.7,0.0,0.0,38.4,6.2,41.3,0.0,0.0,14.1,0.0
1777534812564:13950507530:wangjiangfeng,334747496,wangjiangfeng,69,240,4.0,0.8,1.1,1.1,0.0,0.0,0.0,0.9,0.0,19.5,28.3,28.5,0.0,0.0,0.0,23.7,0.0
1777556565536:13302978776:zhouwenxiacs,403374958,zhouwenxiacs,69,78,1.3,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
3ebafbcc-d8c1-4d07-bfb7-0950a4a999a2,697650947,yinsitian,69,387,7.0,0.8,4.6,0.0,0.7,0.0,0.0,0.0,0.9,12.2,65.8,0.0,9.7,0.0,0.0,0.0,12.3
